Pure,All,Mix,Six
1,1,1,1
1,1,3.60555127546399,1
2,2,3,2
1,1,1,1
0,0,0,0
1,1,1,1
0,0,1,0
0,0,0,0
1,1,1,1
1.4142135623731,1.4142135623731,1.4142135623731,1.4142135623731
0,0,0,0
1,1,1,1
0,0,0,0
1,1,1,1
0,0,0,0
0,0,5,0
2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979
0,0,0,0
0,0,0,0
1,1,1,1
4,4,4,4
4,3,3,3
4,4,4,4
3.16227766016838,3.16227766016838,3.16227766016838,3.16227766016838
3,3,3,3
3.60555127546399,3.60555127546399,3.60555127546399,3.60555127546399
1,1,1,1
3.16227766016838,3.16227766016838,3.16227766016838,3.16227766016838
2,2,2,2
3,3,3,3
2,2,4,2
2.82842712474619,2.82842712474619,2.82842712474619,2.82842712474619
3.60555127546399,3.60555127546399,3.60555127546399,3.60555127546399
1,1,1,1
2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979
3,3,3,3
5,3.60555127546399,3.60555127546399,5
1,1,1,1
0,0,0,0
3.60555127546399,3.60555127546399,3.60555127546399,3.60555127546399
3.60555127546399,3.60555127546399,3.60555127546399,3.60555127546399
4,4,4,4
4,4,4,4
3.60555127546399,3.60555127546399,3.60555127546399,3.60555127546399
0,0,0,0
1,1,1,1
1,1,1,1
3.60555127546399,3.60555127546399,3.60555127546399,3.60555127546399
3.60555127546399,3.60555127546399,3.60555127546399,3.60555127546399
4.12310562561766,4.12310562561766,4.12310562561766,4.12310562561766
2.82842712474619,2.82842712474619,3.60555127546399,2.82842712474619
1,1,1,1
0,0,0,0
4.12310562561766,3.60555127546399,3.60555127546399,4.12310562561766
1,1,1,1
3.60555127546399,3.60555127546399,5,3.60555127546399
0,0,0,0
1,1,1,1
7.21110255092798,7.21110255092798,7.21110255092798,7.21110255092798
4,4,4,4
4,4,4,4
1,1,3.16227766016838,1
1,1,1,1
1,1,1,1
0,0,0,0
4.12310562561766,4.12310562561766,4.12310562561766,4.12310562561766
4,4,4,4
1,1,1,1
1,1,1,1
1,1,1,1
4,4,4,4
2,2,2,2
0,0,0,0
5.8309518948453,5.8309518948453,5.8309518948453,5.8309518948453
1,1,1,1
1,1,1,1
4.47213595499958,4.47213595499958,4.47213595499958,4.47213595499958
2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979
0,0,0,0
6.70820393249937,5.65685424949238,5.65685424949238,6.70820393249937
3.16227766016838,3.16227766016838,3.16227766016838,3.16227766016838
3.60555127546399,3.16227766016838,3.16227766016838,3.16227766016838
1,1,1,1
3.16227766016838,2.82842712474619,2.82842712474619,2.82842712474619
3.60555127546399,3.60555127546399,3.60555127546399,3.60555127546399
1,1,1,1
4,4,4,4
3.60555127546399,2.23606797749979,2.23606797749979,2.23606797749979
2,2,2,2
3.16227766016838,3,3,3
0,0,0,0
2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979
1,1,1,1
3,2.23606797749979,2.23606797749979,2.23606797749979
2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979
0,0,0,0
3,3,3,3
4.12310562561766,3,3,4.12310562561766
0,0,0,0
3.16227766016838,3.16227766016838,3.16227766016838,3.16227766016838
3.16227766016838,3.16227766016838,3.16227766016838,3.16227766016838
4.47213595499958,4.47213595499958,4.47213595499958,4.47213595499958
2.23606797749979,2.23606797749979,3,2.23606797749979
2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979
0,0,0,0
1,1,1,1
3.60555127546399,3.60555127546399,3.60555127546399,3.60555127546399
0,0,0,0
9.21954445729289,9.21954445729289,9.21954445729289,9.21954445729289
4,3.60555127546399,3.60555127546399,3.60555127546399
2,2,2,2
4.12310562561766,4.12310562561766,4.12310562561766,4.12310562561766
1.4142135623731,1.4142135623731,1.4142135623731,1.4142135623731
6.40312423743285,6.40312423743285,6.40312423743285,6.40312423743285
2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979
4.12310562561766,4.12310562561766,4.12310562561766,4.12310562561766
4,4,4,4
1,1,1,1
4.47213595499958,4.47213595499958,4.47213595499958,4.47213595499958
1,1,1,1
3.60555127546399,3.60555127546399,3.60555127546399,3.60555127546399
1,1,3,1
1,1,1,1
3.60555127546399,3.60555127546399,3.60555127546399,3.60555127546399
6.32455532033676,6.32455532033676,6.32455532033676,6.32455532033676
4,3,3,3
1,1,1,1
4.12310562561766,4.12310562561766,4.12310562561766,4.12310562561766
2,2,2,2
3.16227766016838,3,3,3
2,2,3.60555127546399,2
1,1,1,1
0,0,0,0
2.23606797749979,1,1,1
4.24264068711928,2,2,2
5.8309518948453,4,4,4
4.47213595499958,4.47213595499958,4.47213595499958,4.47213595499958
5.09901951359278,5.09901951359278,5.09901951359278,5.09901951359278
3.60555127546399,3.60555127546399,3.60555127546399,3.60555127546399
3.60555127546399,3.60555127546399,3.60555127546399,3.60555127546399
5.3851648071345,5.09901951359278,5.09901951359278,5.3851648071345
1,1,3,1
1,1,1.4142135623731,1
3.16227766016838,3.16227766016838,3.16227766016838,3.16227766016838
0,0,0,0
1,1,1,1
1,1,1,1
0,0,0,0
5.8309518948453,4.12310562561766,4.12310562561766,5.8309518948453
3.16227766016838,3,3,3
2.82842712474619,2.82842712474619,4,2.82842712474619
1,1,1,1
3.60555127546399,3.60555127546399,3.60555127546399,3.60555127546399
2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979
0,0,0,0
3.60555127546399,3.60555127546399,3.60555127546399,3.60555127546399
4,4,4,4
3,3,3,3
0,0,0,0
1,1,1,1
4.12310562561766,4.12310562561766,4.12310562561766,4.12310562561766
6.40312423743285,6.32455532033676,6.32455532033676,6.40312423743285
4,4,4,4
4,4,4,4
1,1,1,1
3,3,3,3
1,1,1,1
5.3851648071345,5.3851648071345,5.3851648071345,5.3851648071345
1,1,1,1
4.12310562561766,4.12310562561766,4.12310562561766,4.12310562561766
4,4,4,4
2.82842712474619,2.82842712474619,2.82842712474619,2.82842712474619
3.60555127546399,3.60555127546399,3.60555127546399,3.60555127546399
3,3,3,3
2,2,2,2
4,4,5,4
4,4,4,4
3,3,3,3
3.16227766016838,3.16227766016838,3.16227766016838,3.16227766016838
3.16227766016838,3.16227766016838,3.16227766016838,3.16227766016838
1,1,1,1
2,2,3.60555127546399,2
4,4,4,4
3.60555127546399,2.82842712474619,2.82842712474619,2.82842712474619
0,0,0,0
